city,job_type,interaction,p_value
Delhi,appliance_repair,1.138082152363623,0.21687087744255806
Delhi,cleaning,-0.8573643822509902,0.24311501721530993
Delhi,pest_control,0.8527620365158955,0.47952510886297117
Delhi,plumbing,0.09800822538523465,0.9235554515472724
Delhi,salon_at_home,-0.3652774599958017,0.6626427258589963
Hyderabad,appliance_repair,-1.489930418545304,0.16085822701430275
Hyderabad,cleaning,0.1162790349543037,0.8890216226603763
Hyderabad,pest_control,-2.424217397713005,0.07140599445925813
Hyderabad,plumbing,-0.9592245126971423,0.42082797743768163
Hyderabad,salon_at_home,-0.027833671970684808,0.9768378301928955
